电视频道,#genre#
CCTV-10科教,http://117.148.179.163/PLTV/88888888/224/3221231666/index.m3u8

CCTV-12社会与法,http://39.136.48.18:8089/PLTV/88888888/224/3221225763/index.m3u8
CCTV-12社会与法,http://222.132.191.125:9901/tsfile/live/0007_1.m3u8
CCTV-12社会与法,http://117.148.179.150/PLTV/88888888/224/3221231660/index.m3u8

CCTV-13新闻,http://39.136.48.18:8089/PLTV/88888888/224/3221226328/index.m3u8
CCTV-13新闻,http://111.20.33.97/PLTV/88888893/224/3221226233/index.m3u8
CCTV-13新闻,http://117.148.179.139/PLTV/88888888/224/3221231636/index.m3u8

CCTV-14少儿频道,http://39.136.48.18:8089/PLTV/88888888/224/3221225765/index.m3u8
CCTV-14少儿频道,http://222.132.191.125:9901/tsfile/live/0010_1.m3u8
CCTV-14少儿频道,http://117.148.179.157/PLTV/88888888/224/3221231648/index.m3u8

CCTV-15音乐频道,http://39.136.48.22:8089/PLTV/88888888/224/3221226409/index.m3u8
CCTV-15音乐频道,http://182.151.211.171:808/hls/15/index.m3u8
CCTV-15音乐频道,http://112.74.200.9:88/tv000000/m3u8.php?/migu/673168223

CCTV-16奥林匹克,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
CCTV-16奥林匹克,http://117.148.179.162/PLTV/88888888/224/3221233403/index.m3u8
CCTV-16奥林匹克,http://39.135.138.58:18890/TVOD/88888888/224/3221226230/index.m3u8 

CCTV-4K,http://open.live-web.timetv.cn/live03/cctv4k.m3u8
CCTV-4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8

CCTV-8K,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233413/index.m3u8
CCTV-8K,http://117.148.129.93:80/PLTV/88888888/224/3221233350/1.m3u8

冬奥纪实8k,http://117.148.179.157/PLTV/88888888/224/3221233448/index.m3u8

北京卫视,http://39.136.48.53:8089/PLTV/88888888/224/3221226146/index.m3u8
北京卫视,http://222.132.191.125:9901/tsfile/live/0122_1.m3u8
北京卫视,http://111.20.33.93/TVOD/88888893/224/3221226222/index.m3u8

